,date,5DMA,25DMA,75DMA,100DMA,200DMA,5DVMA,25DVMA,75DVMA
148,2021/11/15,9894,9658.8,9490.53,9476.3,9460.9,408220,431536,404296
149,2021/11/12,9854,9610,9480.93,9472.1,9453.15,405920,427940,403676
150,2021/11/11,9806,9554.8,9471.6,9470.2,9445.05,426400,425528,402238
151,2021/11/10,9836,9512.4,9463.33,9470.6,9437.95,468680,427860,402814
152,2021/11/9,9810,9471.2,9451.73,9470.6,9430.95,473460,421960,400785
153,2021/11/8,9768,9437.6,9440.13,9469.4,9423.95,523220,423072,398908
154,2021/11/5,9730,9402.4,9430.4,9467.1,9417.8,631280,421976,399384
155,2021/11/4,9738,9380,9422.4,9466.4,9412,608680,423432,396118
156,2021/11/2,9706,9354.8,9413.87,9464,9404.55,584420,427832,393758
157,2021/11/1,9700,9354.8,9411.2,9465.5,9398.2,535940,420208,392546
158,2021/10/29,9680,9357.2,9408.67,9466.7,9391.4,476460,406944,388845
159,2021/10/28,9660,9360.8,9403.07,9467.5,9384.05,349640,383944,382718
160,2021/10/27,9622,9348,9395.47,9466.5,9375.8,326480,377780,383354
161,2021/10/26,9604,9338.4,9388.67,9465.6,9367.6,318000,374688,382961
162,2021/10/25,9628,9340,9386.53,9464.7,9360.35,310700,385424,381530
163,2021/10/22,9690,9349.2,9386.4,9463,9354,325540,384292,379204
164,2021/10/21,9716,9358.4,9387.07,9463,9346.95,406980,387812,380382
165,2021/10/20,9664,9374,9386.8,9459.6,9338.85,422380,394824,380692
166,2021/10/19,9554,9375.6,9385.6,9455.4,9329.85,421920,399012,381274
167,2021/10/18,9412,9375.2,9385.07,9450.1,9320.65,437360,412612,382890
168,2021/10/15,9262,9376.4,9385.73,9444,9311.25,424240,411624,382561
169,2021/10/14,9090,9390.8,9389.47,9440.1,9302.55,345880,408060,380306
170,2021/10/13,8944,9419.2,9395.33,9438.8,9295.45,343700,410472,380129
171,2021/10/12,8862,9446.4,9403.07,9438.7,9289.95,346280,410948,381664
172,2021/10/11,8806,9470,9411.6,9440.8,9285.1,352340,414908,384014
173,2021/10/8,8788,9481.2,9415.47,9441.3,9280.35,365900,409084,385400
174,2021/10/7,8816,9502.8,9426.13,9443.5,9276.75,376100,406744,392462
175,2021/10/6,8932,9529.6,9442,9447.1,9273.5,415920,409916,392778
176,2021/10/5,9048,9557.2,9456.67,9450.2,9268.9,468540,406452,392282
177,2021/10/4,9228,9576.8,9470.4,9452.8,9264.1,464700,399660,391484
178,2021/10/1,9366,9586.8,9480,9453.2,9258.7,442580,393148,388602
179,2021/9/30,9522,9594.8,9488.67,9453.5,9253.75,441120,400308,390146
180,2021/9/29,9578,9584,9495.2,9452.6,9247.15,380420,393072,386405
181,2021/9/28,9624,9568.4,9500.4,9446.9,9239.8,318700,391684,382461
182,2021/9/27,9626,9527.6,9502.4,9440.7,9230.2,362020,410060,382185
183,2021/9/24,9640,9506,9503.2,9434.8,9219.75,363200,421392,383074
184,2021/9/22,9648,9495.6,9503.07,9429.1,9208.7,368980,418448,384652
185,2021/9/21,9752,9488.4,9506,9425.8,9200.1,411700,419548,386102
186,2021/9/17,9790,9482,9508,9423.3,9191.2,439620,416132,388242
187,2021/9/16,9804,9480.4,9506.27,9418.1,9181.4,446640,405132,385253
188,2021/9/15,9826,9476.8,9500.93,9415,9171,462200,401524,387077
189,2021/9/14,9878,9470.8,9497.87,9413.1,9159.35,508220,399748,387730
190,2021/9/13,9890,9451.2,9488.13,9408.5,9146.15,500620,394628,388017
191,2021/9/10,9908,9439.6,9482,9406.5,9133.9,481600,382996,384946
192,2021/9/9,9886,9428,9475.07,9403.9,9121.95,448840,363648,381846
193,2021/9/8,9786,9415.2,9466.53,9400.5,9109.6,411540,356252,380820
194,2021/9/7,9650,9398.4,9456.53,9393.5,9095.45,339300,351252,378584
195,2021/9/6,9496,9383.2,9445.33,9387.5,9081.35,340920,359908,376086
196,2021/9/3,9416,9355.6,9436.13,9385.6,9068.6,323800,375044,375078
197,2021/9/2,9340,9338.4,9431.07,9386.4,9055.2,276100,370720,372593
198,2021/9/1,9316,9331.6,9428,9389.6,9042.45,286220,372268,372370
